isolate	aac(6')-aph(2'')	ant(6)-Ia	ant(6)-Ib	erm(B)	erm(G)	erm(Q)	erm(T)	lnu(P)	tet(44)	tetA(P)	tetB(P)
CQ100_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ101_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ102_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ103_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ104_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ105_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ106_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ107_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ108_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ109_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ110_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ111_scaffolds	0	0	1	0	0	1	0	1	1	1	0
CQ112_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ113_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ114_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ115_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ116_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ117_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ118_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ119_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ11_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ121_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ122_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ123_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ124_scaffolds	0	1	1	0	1	1	0	0	1	1	0
CQ125_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ127_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ128_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ129_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ130_scaffolds	1	0	0	1	0	0	0	0	0	1	1
CQ131_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ132_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ133_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ13_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ141_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ142_scaffolds	0	0	0	0	0	0	0	1	0	1	1
CQ143_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ144_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ145_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ146_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ147_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ148_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ14_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ15_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ160_scaffolds	0	0	1	0	0	0	0	0	1	1	0
CQ161_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ162_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ163_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ164_scaffolds	0	0	0	0	0	1	0	0	0	1	0
CQ165_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ166_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ167_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ168_scaffolds	0	0	1	0	0	1	0	0	1	1	0
CQ169_scaffolds	0	0	0	0	0	0	0	0	0	0	0
