Gene	location
CQ100_scaffolds	china
CQ101_scaffolds	china
CQ102_scaffolds	china
CQ103_scaffolds	china
CQ104_scaffolds	china
CQ105_scaffolds	china
CQ106_scaffolds	china
CQ107_scaffolds	china
CQ108_scaffolds	china
CQ109_scaffolds	china
CQ110_scaffolds	china
CQ111_scaffolds	china
CQ112_scaffolds	china
CQ113_scaffolds	china
CQ114_scaffolds	china
CQ115_scaffolds	china
CQ116_scaffolds	china
CQ117_scaffolds	china
CQ118_scaffolds	china
CQ119_scaffolds	china
CQ11_scaffolds	china
CQ121_scaffolds	china
CQ122_scaffolds	china
CQ123_scaffolds	china
CQ124_scaffolds	china
CQ125_scaffolds	china
CQ127_scaffolds	china
CQ128_scaffolds	china
CQ129_scaffolds	china
CQ130_scaffolds	china
CQ131_scaffolds	china
CQ132_scaffolds	china
CQ133_scaffolds	china
CQ13_scaffolds	china
CQ141_scaffolds	china
CQ142_scaffolds	china
CQ143_scaffolds	china
CQ144_scaffolds	china
CQ145_scaffolds	china
CQ146_scaffolds	china
CQ147_scaffolds	china
CQ148_scaffolds	china
CQ14_scaffolds	china
CQ15_scaffolds	china
CQ160_scaffolds	china
CQ161_scaffolds	china
CQ162_scaffolds	china
CQ163_scaffolds	china
CQ164_scaffolds	china
CQ165_scaffolds	china
CQ166_scaffolds	china
CQ167_scaffolds	china
CQ168_scaffolds	china
CQ169_scaffolds	china
CQ170_scaffolds	china
CQ171_scaffolds	china
CQ172_scaffolds	china
CQ173_scaffolds	china
CQ174_scaffolds	china
CQ175_scaffolds	china
CQ176_scaffolds	china
CQ177_scaffolds	china
CQ178_scaffolds	china
CQ179_scaffolds	china
CQ17_scaffolds	china
CQ180_scaffolds	china
CQ181_scaffolds	china
CQ182_scaffolds	china
CQ183_scaffolds	china
CQ185_scaffolds	china
CQ186_scaffolds	china
CQ187_scaffolds	china
CQ188_scaffolds	china
CQ18_scaffolds	china
CQ19_scaffolds	china
CQ1_scaffolds	china
CQ202_scaffolds	china
CQ203_scaffolds	china
CQ204_scaffolds	china
CQ205_scaffolds	china
CQ206_scaffolds	china
CQ207_scaffolds	china
CQ208_scaffolds	china
CQ20_scaffolds	china
CQ210_scaffolds	china
CQ211_scaffolds	china
CQ212_scaffolds	china
CQ213_scaffolds	china
CQ214_scaffolds	china
CQ216_scaffolds	china
CQ217_scaffolds	china
CQ218_scaffolds	china
CQ219_scaffolds	china
CQ21_scaffolds	china
CQ220_scaffolds	china
CQ221_scaffolds	china
CQ222_scaffolds	china
CQ223_scaffolds	china
CQ225_scaffolds	china
CQ226_scaffolds	china
CQ228_scaffolds	china
CQ22_scaffolds	china
CQ230_scaffolds	china
CQ231_scaffolds	china
CQ232_scaffolds	china
CQ233_scaffolds	china
CQ234_scaffolds	china
CQ23_scaffolds	china
CQ241_scaffolds	china
CQ242_scaffolds	china
CQ243_scaffolds	china
CQ245_scaffolds	china
CQ246_scaffolds	china
CQ247_scaffolds	china
CQ248_scaffolds	china
CQ249_scaffolds	china
CQ24_scaffolds	china
CQ250_scaffolds	china
CQ251_scaffolds	china
CQ252_scaffolds	china
CQ253_scaffolds	china
CQ254_scaffolds	china
CQ255_scaffolds	china
CQ256_scaffolds	china
CQ257_scaffolds	china
CQ258_scaffolds	china
CQ259_scaffolds	china
CQ25_scaffolds	china
CQ260_scaffolds	china
CQ261_scaffolds	china
CQ262_scaffolds	china
CQ263_scaffolds	china
CQ265_scaffolds	china
CQ26_scaffolds	china
CQ27_scaffolds	china
CQ28_scaffolds	china
CQ29_scaffolds	china
CQ2_scaffolds	china
CQ31_scaffolds	china
CQ32_scaffolds	china
CQ34_scaffolds	china
CQ36_scaffolds	china
CQ39_scaffolds	china
CQ3_scaffolds	china
CQ40_scaffolds	china
CQ43_scaffolds	china
CQ44_scaffolds	china
CQ45_scaffolds	china
CQ46_scaffolds	china
CQ47_scaffolds	china
CQ48_scaffolds	china
CQ49_scaffolds	china
CQ4_scaffolds	china
CQ50_scaffolds	china
CQ51_scaffolds	china
CQ52_scaffolds	china
CQ54_scaffolds	china
