isolate	cluster
SAMN38415252	cluster1
SAMN38415253	cluster2
SAMN38415254	cluster2
SAMN38415255	cluster1
SAMN38415256	cluster2
SAMN38415257	cluster2
CQ100_scaffolds	cluster2
CQ101_scaffolds	cluster3
CQ102_scaffolds	cluster3
CQ103_scaffolds	cluster3
CQ104_scaffolds	cluster3
CQ105_scaffolds	cluster1
CQ106_scaffolds	cluster3
CQ107_scaffolds	cluster3
CQ108_scaffolds	cluster4
CQ109_scaffolds	cluster3
CQ110_scaffolds	cluster1
CQ111_scaffolds	cluster2
CQ112_scaffolds	cluster5
CQ113_scaffolds	cluster3
CQ114_scaffolds	cluster6
CQ115_scaffolds	cluster3
CQ116_scaffolds	cluster3
CQ117_scaffolds	cluster3
CQ118_scaffolds	cluster3
CQ119_scaffolds	cluster4
CQ11_scaffolds	cluster3
CQ121_scaffolds	cluster3
CQ122_scaffolds	cluster3
CQ123_scaffolds	cluster3
CQ124_scaffolds	cluster2
CQ125_scaffolds	cluster1
CQ127_scaffolds	cluster3
CQ128_scaffolds	cluster1
CQ129_scaffolds	cluster3
CQ130_scaffolds	cluster3
CQ131_scaffolds	cluster3
CQ132_scaffolds	cluster3
CQ133_scaffolds	cluster1
CQ13_scaffolds	cluster3
CQ141_scaffolds	cluster3
CQ142_scaffolds	cluster1
CQ143_scaffolds	cluster1
CQ144_scaffolds	cluster3
CQ145_scaffolds	cluster3
CQ146_scaffolds	cluster3
CQ147_scaffolds	cluster3
CQ148_scaffolds	cluster4
CQ14_scaffolds	cluster3
CQ15_scaffolds	cluster1
CQ160_scaffolds	cluster3
CQ161_scaffolds	cluster1
CQ162_scaffolds	cluster1
CQ163_scaffolds	cluster3
CQ164_scaffolds	cluster3
CQ165_scaffolds	cluster3
CQ166_scaffolds	cluster1
CQ167_scaffolds	cluster1
CQ168_scaffolds	cluster3
CQ169_scaffolds	cluster3
CQ170_scaffolds	cluster1
CQ171_scaffolds	cluster4
CQ172_scaffolds	cluster3
CQ173_scaffolds	cluster3
CQ174_scaffolds	cluster3
CQ175_scaffolds	cluster3
CQ176_scaffolds	cluster3
CQ177_scaffolds	cluster3
CQ178_scaffolds	cluster3
CQ179_scaffolds	cluster1
CQ17_scaffolds	cluster3
CQ180_scaffolds	cluster1
CQ181_scaffolds	cluster3
CQ182_scaffolds	cluster3
CQ183_scaffolds	cluster3
CQ185_scaffolds	cluster3
CQ186_scaffolds	cluster3
CQ187_scaffolds	cluster3
CQ188_scaffolds	cluster4
CQ18_scaffolds	cluster4
CQ19_scaffolds	cluster3
CQ1_scaffolds	cluster1
CQ202_scaffolds	cluster3
CQ203_scaffolds	cluster3
CQ204_scaffolds	cluster3
CQ205_scaffolds	cluster3
CQ206_scaffolds	cluster3
CQ207_scaffolds	cluster1
CQ208_scaffolds	cluster3
CQ20_scaffolds	cluster1
CQ210_scaffolds	cluster3
CQ211_scaffolds	cluster3
CQ212_scaffolds	cluster1
CQ213_scaffolds	cluster3
CQ214_scaffolds	cluster3
CQ216_scaffolds	cluster6
CQ217_scaffolds	cluster3
CQ218_scaffolds	cluster5
CQ219_scaffolds	cluster3
CQ21_scaffolds	cluster3
CQ220_scaffolds	cluster3
CQ221_scaffolds	cluster1
CQ222_scaffolds	cluster3
CQ223_scaffolds	cluster3
CQ225_scaffolds	cluster3
CQ226_scaffolds	cluster5
CQ228_scaffolds	cluster3
CQ22_scaffolds	cluster3
CQ230_scaffolds	cluster1
CQ231_scaffolds	cluster3
CQ232_scaffolds	cluster1
CQ233_scaffolds	cluster1
CQ234_scaffolds	cluster3
CQ23_scaffolds	cluster3
CQ241_scaffolds	cluster3
CQ242_scaffolds	cluster3
CQ243_scaffolds	cluster1
CQ245_scaffolds	cluster3
CQ246_scaffolds	cluster3
CQ247_scaffolds	cluster3
CQ248_scaffolds	cluster3
CQ249_scaffolds	cluster3
CQ24_scaffolds	cluster3
CQ250_scaffolds	cluster4
CQ251_scaffolds	cluster3
CQ252_scaffolds	cluster1
CQ253_scaffolds	cluster3
CQ254_scaffolds	cluster3
CQ255_scaffolds	cluster3
CQ256_scaffolds	cluster1
CQ257_scaffolds	cluster3
CQ258_scaffolds	cluster3
CQ259_scaffolds	cluster3
CQ25_scaffolds	cluster3
CQ260_scaffolds	cluster3
CQ261_scaffolds	cluster3
CQ262_scaffolds	cluster3
CQ263_scaffolds	cluster3
CQ265_scaffolds	cluster3
CQ26_scaffolds	cluster1
CQ27_scaffolds	cluster4
CQ28_scaffolds	cluster1
CQ29_scaffolds	cluster1
CQ2_scaffolds	cluster3
CQ31_scaffolds	cluster3
CQ32_scaffolds	cluster1
CQ34_scaffolds	cluster4
CQ36_scaffolds	cluster3
CQ39_scaffolds	cluster1
CQ3_scaffolds	cluster3
CQ40_scaffolds	cluster3
CQ43_scaffolds	cluster3
CQ44_scaffolds	cluster3
CQ45_scaffolds	cluster1
CQ46_scaffolds	cluster5
CQ47_scaffolds	cluster3
CQ48_scaffolds	cluster3
CQ49_scaffolds	cluster3
CQ4_scaffolds	cluster3
CQ50_scaffolds	cluster6
CQ51_scaffolds	cluster3
CQ52_scaffolds	cluster3
CQ54_scaffolds	cluster3
CQ56_scaffolds	cluster3
CQ57_scaffolds	cluster3
CQ58_scaffolds	cluster3
CQ61_scaffolds	cluster3
CQ62_scaffolds	cluster2
CQ63_scaffolds	cluster3
CQ64_scaffolds	cluster3
CQ66_scaffolds	cluster3
CQ67_scaffolds	cluster3
CQ68_scaffolds	cluster1
CQ69_scaffolds	cluster3
CQ70_scaffolds	cluster3
CQ71_scaffolds	cluster2
CQ72_scaffolds	cluster4
CQ73_scaffolds	cluster5
CQ74_scaffolds	cluster4
CQ75_scaffolds	cluster3
CQ76_scaffolds	cluster6
CQ77_scaffolds	cluster3
CQ78_scaffolds	cluster1
CQ79_scaffolds	cluster1
CQ7_scaffolds	cluster3
CQ80_scaffolds	cluster3
CQ84_scaffolds	cluster1
CQ85_scaffolds	cluster1
CQ86_scaffolds	cluster3
CQ87_scaffolds	cluster3
CQ88_scaffolds	cluster1
CQ89_scaffolds	cluster3
CQ90_scaffolds	cluster3
CQ91_scaffolds	cluster3
CQ92_scaffolds	cluster5
CQ93_scaffolds	cluster3
CQ94_scaffolds	cluster3
CQ97_scaffolds	cluster3
CQ98_scaffolds	cluster3
CQ99_scaffolds	cluster3
CQ9_scaffolds	cluster3
GCA_031394805.1_PDT001794871.1_genomic	cluster1
GCA_031394845.1_PDT001794870.1_genomic	cluster1
GCA_031394875.1_PDT001794869.1_genomic	cluster1
GCA_031394935.1_PDT001794867.1_genomic	cluster1
GCA_031394975.1_PDT001794868.1_genomic	cluster1
GCA_031395075.1_PDT001794866.1_genomic	cluster1
GCA_031395095.1_PDT001794864.1_genomic	cluster1
GCA_031395165.1_PDT001794863.1_genomic	cluster1
GCA_031395215.1_PDT001794861.1_genomic	cluster1
GCA_031395275.1_PDT001794859.1_genomic	cluster1
GCA_031395295.1_PDT001794860.1_genomic	cluster1
GCA_031395325.1_PDT001794858.1_genomic	cluster1
GCA_031395355.1_PDT001794857.1_genomic	cluster1
GCA_031395395.1_PDT001794856.1_genomic	cluster1
GCA_031395445.1_PDT001794854.1_genomic	cluster1
GCA_031395525.1_PDT001794853.1_genomic	cluster1
GCA_031395545.1_PDT001794851.1_genomic	cluster1
GCA_031395585.1_PDT001794852.1_genomic	cluster1
GCA_031395605.1_PDT001794850.1_genomic	cluster1
GCA_031395705.1_PDT001794849.1_genomic	cluster1
GCA_031395725.1_PDT001794847.1_genomic	cluster1
GCA_031395775.1_PDT001794845.1_genomic	cluster3
GCA_031395805.1_PDT001794846.1_genomic	cluster1
GCA_031395825.1_PDT001794844.1_genomic	cluster1
GCA_031395905.1_PDT001794842.1_genomic	cluster1
GCA_031395925.1_PDT001794841.1_genomic	cluster1
GCA_031396915.1_PDT001794840.1_genomic	cluster3
GCA_031396945.1_PDT001794837.1_genomic	cluster1
GCA_031396985.1_PDT001794838.1_genomic	cluster1
GCA_031397085.1_PDT001794835.1_genomic	cluster1
GCA_031397105.1_PDT001794833.1_genomic	cluster1
GCA_031397125.1_PDT001794834.1_genomic	cluster1
GCA_031397165.1_PDT001794832.1_genomic	cluster1
GCA_031397295.1_PDT001794831.1_genomic	cluster1
GCA_032249845.1_ASM3224984v1_genomic	cluster3
GCA_032249875.1_ASM3224987v1_genomic	cluster1
GCA_032249935.1_ASM3224993v1_genomic	cluster1
GCA_032249955.1_ASM3224995v1_genomic	cluster1
GCA_032250015.1_ASM3225001v1_genomic	cluster1
GCA_032250035.1_ASM3225003v1_genomic	cluster3
GCA_032250055.1_ASM3225005v1_genomic	cluster1
GCA_032250075.1_ASM3225007v1_genomic	cluster1
GCA_032250095.1_ASM3225009v1_genomic	cluster1
GCA_032250115.1_ASM3225011v1_genomic	cluster1
GCA_032250155.1_ASM3225015v1_genomic	cluster1
GCA_032250195.1_ASM3225019v1_genomic	cluster1
GCA_032250265.1_ASM3225026v1_genomic	cluster3
GCA_032352735.1_ASM3235273v1_genomic	cluster1
GCA_032352745.1_ASM3235274v1_genomic	cluster1
GCA_032352765.1_ASM3235276v1_genomic	cluster1
GCA_032352895.1_ASM3235289v1_genomic	cluster5
